row_number,mid,status,reason,attached_to_node_reference,mid_reference,payment_method,_type,merchant_reference,amex_mid,request_payload,response_status_code,response_body
2,1736692657,SKIPPED,AMERICAN_EXPRESS already exists,fbec38c1-1f95-489d-8eeb-7ac320deb85e,c5fea869-670a-4784-9160-a445a17d1515,AMERICAN_EXPRESS,merchant,,,,,
3,200860215413,SKIPPED,AMERICAN_EXPRESS already exists,4ec64d0d-95ba-43eb-b069-37e203b5c898,e92abc98-ada4-4e54-8a73-40569ee620ec,AMERICAN_EXPRESS,merchant,,,,,
4,200860215413,SKIPPED,AMERICAN_EXPRESS already exists,4ec64d0d-95ba-43eb-b069-37e203b5c898,e92abc98-ada4-4e54-8a73-40569ee620ec,AMERICAN_EXPRESS,merchant,,,,,
5,200860215413,SKIPPED,AMERICAN_EXPRESS already exists,4ec64d0d-95ba-43eb-b069-37e203b5c898,e92abc98-ada4-4e54-8a73-40569ee620ec,AMERICAN_EXPRESS,merchant,,,,,
6,200860215413,SKIPPED,AMERICAN_EXPRESS already exists,4ec64d0d-95ba-43eb-b069-37e203b5c898,e92abc98-ada4-4e54-8a73-40569ee620ec,AMERICAN_EXPRESS,merchant,,,,,
7,200860215413,SKIPPED,AMERICAN_EXPRESS already exists,4ec64d0d-95ba-43eb-b069-37e203b5c898,e92abc98-ada4-4e54-8a73-40569ee620ec,AMERICAN_EXPRESS,merchant,,,,,
8,200860215413,SKIPPED,AMERICAN_EXPRESS already exists,4ec64d0d-95ba-43eb-b069-37e203b5c898,e92abc98-ada4-4e54-8a73-40569ee620ec,AMERICAN_EXPRESS,merchant,,,,,
9,200860215413,SKIPPED,AMERICAN_EXPRESS already exists,4ec64d0d-95ba-43eb-b069-37e203b5c898,e92abc98-ada4-4e54-8a73-40569ee620ec,AMERICAN_EXPRESS,merchant,,,,,
10,200860215413,SKIPPED,AMERICAN_EXPRESS already exists,4ec64d0d-95ba-43eb-b069-37e203b5c898,e92abc98-ada4-4e54-8a73-40569ee620ec,AMERICAN_EXPRESS,merchant,,,,,
11,001736692657,SKIPPED,AMERICAN_EXPRESS already exists,4ec64d0d-95ba-43eb-b069-37e203b5c898,6df089ab-c1c6-46bf-95dc-ed8f9eb8b2a4,AMERICAN_EXPRESS,merchant,,,,,
